Strategy,Return,Risk,Sharpe
Max Sharpe,0.27186544381298755,0.2157581002155185,0.9819582374954052
Min Risk,0.15001887043806506,0.16170809979877682,0.5566750864680309
Risk Parity,0.16816544145570658,0.17111711378991343,0.6321135219035142
ML-Optimized,0.1829954803918486,0.18166521618492298,0.6770447473370327
